"gene_id","hugo_symbol","entrez_gene_id","mean_classical_expression","mean_proneural_expression","classical_sample_count","proneural_sample_count","log2_fold_change","expression_direction"
"7482","TRPM1","4308","0.51282051","2.68103448","39","29","-1.2828704356008638","Higher in Proneural"
"2195","ESPN","83715","36.76923077","90.82758621","39","29","-1.2817162219287512","Higher in Proneural"
"3057","HOXC9","3225","63.46153846","155.27586207","39","29","-1.2775844351792691","Higher in Proneural"
"3412","KCNB2","9312","7.84615385","20.37931034","39","29","-1.273093076390849","Higher in Proneural"
"279","ALDH1A3","220","263.16564103","108.42000000","39","29","1.271566372370774","Higher in Classical"
"7288","TMEM246","84302","197.87179487","478.89655172","39","29","-1.2708847672001724","Higher in Proneural"
"1822","DHRS2","10202","24.35897436","60.13793103","39","29","-1.2695713337084962","Higher in Proneural"
"6288","SEPT14","346288","628.28205128","1516.10344828","39","29","-1.2695407641687506","Higher in Proneural"
"2625","GBP7","388646","6.57512821","2.15206897","39","29","1.2649712040307008","Higher in Classical"
"2016","ECHDC2","55268","1504.97435897","629.51724138","39","29","1.256089480155077","Higher in Classical"
"1994","DYNC1I1","1780","411.30769231","982.41379310","39","29","-1.2540772127197277","Higher in Proneural"
"3181","IGSF1","3547","792.33333333","331.72413793","39","29","1.2536006353806524","Higher in Classical"
"1619","CTNNA3","29119","16.69333333","41.15620690","39","29","-1.252539193353615","Higher in Proneural"
"3447","KCNK5","8645","48.28205128","19.72413793","39","29","1.2497502163398415","Higher in Classical"
"5191","PCDHGA2","56113","284.35230769","119.11448276","39","29","1.2483341164078285","Higher in Classical"
"318","AMOTL2","51421","1666.97435897","3957.86206897","39","29","-1.2469886921475122","Higher in Proneural"
"6563","SLC4A4","8671","11408.41025641","4822.75862069","39","29","1.2419945995964885","Higher in Classical"
"3671","KRT84","3890","0.15384615","1.72413793","39","29","-1.2393488798436565","Higher in Proneural"
"5214","PCLO","27445","151.66666667","358.48275862","39","29","-1.2355374806817911","Higher in Proneural"
"2702","GLI2","2736","804.20512821","341.17241379","39","29","1.23463290725652","Higher in Classical"
"604","ATRNL1","26033","295.69230769","696.13793103","39","29","-1.2324766035874988","Higher in Proneural"
"4037","MARCH4","57574","92.10256410","217.24137931","39","29","-1.229031861375114","Higher in Proneural"
"3547","KIF21B","23046","1354.00000000","3171.48275862","39","29","-1.2273194719460814","Higher in Proneural"
